iter	Passed	Remaining
0	204	40751
1	244	24245
2	294	19329
3	331	16248
4	364	14211
5	404	13065
6	442	12210
7	478	11481
8	517	10976
9	553	10511
10	587	10101
11	625	9803
12	663	9540
13	699	9290
14	736	9080
15	773	8896
16	808	8706
17	846	8555
18	881	8395
19	918	8269
20	953	8129
21	992	8026
22	1028	7917
23	1063	7799
24	1099	7695
25	1136	7606
26	1172	7510
27	1208	7426
28	1246	7352
29	1282	7266
30	1320	7200
31	1356	7122
32	1392	7047
33	1431	6988
34	1467	6916
35	1505	6858
36	1540	6787
37	1577	6723
38	1613	6660
39	1649	6599
40	1686	6541
41	1726	6494
42	1764	6443
43	1799	6379
44	1834	6318
45	1871	6265
46	1907	6210
47	1944	6156
48	1980	6103
49	2016	6048
50	2052	5996
51	2088	5943
52	2126	5899
53	2161	5844
54	2196	5790
55	2240	5760
56	2289	5743
57	2344	5739
58	2397	5730
59	2445	5705
60	2500	5696
61	2556	5689
62	2606	5667
63	2657	5646
64	2710	5629
65	2766	5616
66	2812	5583
67	2850	5534
68	2887	5482
69	2926	5434
70	2962	5382
71	3003	5340
72	3043	5294
73	3084	5251
74	3129	5215
75	3164	5162
76	3200	5111
77	3241	5069
78	3278	5020
79	3313	4969
80	3347	4918
81	3389	4876
82	3424	4826
83	3458	4776
84	3497	4732
85	3533	4684
86	3568	4635
87	3604	4587
88	3640	4540
89	3662	4476
90	3698	4430
91	3740	4391
92	3777	4346
93	3816	4303
94	3852	4258
95	3893	4218
96	3930	4174
97	3966	4128
98	4006	4087
99	4043	4043
100	4084	4003
101	4119	3957
102	4153	3912
103	4189	3867
104	4228	3825
105	4267	3784
106	4303	3740
107	4341	3698
108	4382	3658
109	4418	3615
110	4455	3572
111	4493	3530
112	4529	3486
113	4566	3444
114	4607	3405
115	4629	3352
116	4663	3308
117	4700	3266
118	4735	3223
119	4771	3180
120	4806	3138
121	4842	3096
122	4880	3055
123	4918	3014
124	4954	2972
125	4993	2932
126	5033	2892
127	5069	2851
128	5110	2812
129	5149	2772
130	5186	2731
131	5224	2691
132	5262	2651
133	5302	2611
134	5339	2570
135	5379	2531
136	5420	2492
137	5456	2451
138	5492	2410
139	5530	2370
140	5568	2330
141	5605	2289
142	5641	2248
143	5679	2208
144	5718	2168
145	5754	2128
146	5789	2087
147	5828	2047
148	5867	2008
149	5908	1969
150	5946	1929
151	5987	1890
152	6031	1852
153	6069	1813
154	6108	1773
155	6147	1733
156	6185	1694
157	6222	1654
158	6262	1614
159	6302	1575
160	6339	1535
161	6380	1496
162	6415	1456
163	6452	1416
164	6490	1376
165	6531	1337
166	6568	1297
167	6602	1257
168	6642	1218
169	6678	1178
170	6717	1139
171	6754	1099
172	6789	1059
173	6826	1020
174	6864	980
175	6901	941
176	6940	901
177	6980	862
178	7019	823
179	7059	784
180	7100	745
181	7147	706
182	7193	668
183	7237	629
184	7280	590
185	7320	550
186	7362	511
187	7411	473
188	7459	434
189	7501	394
190	7545	355
191	7587	316
192	7628	276
193	7674	237
194	7714	197
195	7755	158
196	7798	118
197	7836	79
198	7872	39
199	7913	0
